RefObligor,Sub_RefObligor,Rating,IrcRecRate,EAD,Notional,LiquidityHorizon,COR1,COR2,COR3,COR4,COR5,COR6,COR7,COR8,COR9,COR10,COR11,PAAA,PAA,PA,PBBB,PBB,PB,PCCC,PD,PnL_AAA,PnL_AA,PnL_A,PnL_BBB,PnL_BB,PnL_B,PnL_CCC,ShapeParamAlpha,ShapeParamAlphaUp,ShapeParamAlphaDown,ShapeParamBeta,ShapeParamBetaUp,ShapeParamBetaDown
1,1,A,0.25,-80473485.5,79260977.4,12,0.000000000000000,-0.000000001265293,-0.00000000003271,-0.00000001173025,0.06048290490084,-0.03616978326032,0.00000000000000,0.00000000000000,0.16363947332919,0.73431900316398,0.65500480101634,0.00000000000000000000,0.03512222921600000000,0.91052292819557800000,0.03828912019144760000,0.00591142683532950000,0.00074201005758448000,0.00026586699900000000,0.00528146721607437000,3092287.15292900000,2186144.21726247000,0.00000000000,-3338134.82899783000,-4593530.40938083000,-23339426.41902270000,-41241859.81591340000,0.687500000000000,1.425490000000000,0.177620000000000,2.062500000000000,2.300000000000000,1.100000000000000
2,2,BAA,0.4,4575126.8,-4166171.9,3,0.000000000000000,-0.000000000025700,0.00000000149254,-0.00000000633091,0.17248559048765,0.05241428349717,0.00000000000000,0.00000000000000,0.16572781031544,0.72530024600444,0.81432556279375,0.00003889411799653240,0.00012704479072848500,0.00846959876608416000,0.97206952364888200000,0.00984692727316010000,0.00101782595598558000,0.00039390389073053300,0.00902932149768854000,-321703.47418100000,-321446.07761985500,-224662.04783523200,0.00000000000,782772.43472520900,1382736.49333529000,1898470.49644465000,0.666670000000000,0.940690000000000,0.358160000000000,1.000000000000000,0.800000000000000,0.900000000000000
3,3,CCC,0.4,64405.6,-66464.3,3,0.000000000000000,-0.000000000534424,0.00000001210448,-0.00000000055045,-0.03023925425158,0.08707537168116,0.00000000000000,0.00000000000000,-0.26848915973815,0.49504757048967,0.66179854425863,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00066798110230090600,0.08094831248789750000,0.81402502262680400000,0.10574824077919100000,-21210.35808000000,-20955.59446666860,-203155.64157165200,-19199.37857295350,-18830.37166217850,-10717.73745822290,0.00000000000,1.520000000000000,2.119410000000000,0.900000000000000,2.300000000000000,1.900000000000000,2.200000000000000
4,4,B,0.4,-1793839.6,1684700.0,3,0.000000000000000,-0.000000000134292,-0.00000000418683,0.00000001100327,-0.02529710279559,0.12882882648225,0.00000000000000,0.00000000000000,-0.23794592702611,0.49775202835654,0.80987473270756,0.00000643244903556510,0.00004152300651433920,0.00036368312664642800,0.00054036488354160000,0.01741756805759830000,0.95143062435371600000,0.02087540169087770000,0.00643438152374487000,2249.35900000000,2249.35900000000,2249.35900000000,2249.35900000000,2249.35900000000,0.00000000000,-73758.27130351160,0.666670000000000,0.940690000000000,0.400000000000000,1.000000000000000,0.800000000000000,0.900000000000000
5,5,BAA,0.4,22791.9,-24782.4,3,0.000000000000000,-0.000000000025700,0.00000000149254,-0.00000000633091,0.17248559048765,0.05241428349717,0.00000000000000,0.00000000000000,-0.26848915973815,0.50475704896744,0.81432556279375,0.00003885498910518780,0.00012628099439144000,0.00846109515286520000,0.97304943244288300000,0.00989650898148417000,0.00101068689617406000,0.00039469486239866600,0.00113677404798040000,-3692.26088000000,-2622.91758294890,-1416.41060839470,0.00000000000,1384.83840116860,5500.48141785420,12497.77673899700,0.666670000000000,0.940690000000000,0.358160000000000,1.000000000000000,0.800000000000000,0.900000000000000
6,6,B,0.4,-62680.2,73334.0,3,0.000000000000000,-0.000000000134292,-0.00000000418683,0.00000001100327,-0.02529710279559,0.12882882648225,0.00000000000000,0.00000000000000,-0.23794592702611,0.49775207570654,0.80987473270756,0.00000643244903556510,0.00004173229586168970,0.00036514664023454300,0.00053711619686700200,0.01733039304229500000,0.95238972780568600000,0.02095966163715780000,0.00920093580527015000,4.75825800000,4.75825800000,4.75825800000,4.75825800000,4.75825800000,0.00000000000,-1566.84408396400,0.666670000000000,0.940690000000000,0.400000000000000,1.000000000000000,0.800000000000000,0.900000000000000
7,7,BAA,0.4,-112182.2,95526.9,3,0.000000000000000,-0.000000000025700,0.00000000149254,-0.00000000633091,0.17248559048765,0.05241428349717,0.00000000000000,0.00000000000000,-0.23794592702611,0.49775202565434,0.81432556279375,0.00003877673132249860,0.00012691749133897800,0.00847810237930312000,0.97108961485488100000,0.00984692727316010000,0.00101782595598558000,0.00039350840489646600,0.00706976989175256000,3494.77299200000,2901.30329648230,1814.29728654630,0.00000000000,-6121.67592568900,-12891.93077369640,-22297.44382040290,0.666670000000000,0.940690000000000,0.358160000000000,1.000000000000000,0.800000000000000,0.900000000000000
8,8,A,0.4,-4722853.3,3969419.2,3,0.000000000000000,-0.000000000025700,0.00000000149254,-0.00000000633091,0.17248559048765,0.05241428349717,0.00000000000000,0.00000000000000,-0.23794592702611,0.49775202565434,0.81432556279375,0.00006535917945002700,0.00415051300934445000,0.97383448073357100000,0.01670580817125430000,0.00086068710579777700,0.00026019950471857600,0.00012548950980658000,0.00213500295247449000,814381.63000200000,0.00000000000,0.00000000000,-564286.74777277900,-1715210.42469226000,-2444552.09968177000,-3097690.02370561000,0.666670000000000,0.940690000000000,0.358160000000000,1.000000000000000,0.800000000000000,0.900000000000000
9,9,BAA,0.4,-224011.5,232369.7,3,0.000000000000000,-0.000000000025700,0.00000000149254,-0.00000000633091,0.17248559048765,0.05241428349717,0.00000000000000,0.00000000000000,-0.23794592702611,0.49775202565434,0.81432556279375,0.00003893324688787700,0.00012704479072848500,0.00845259153964624000,0.97402934123688400000,0.00983701093149529000,0.00101068689617406000,0.00039350840489646600,0.00607289086303897000,7272.11029800000,6055.79406066750,3829.84142269130,0.00000000000,-13441.97709299040,-29048.84737740200,-51102.85776578720,0.666670000000000,0.940690000000000,0.358160000000000,1.000000000000000,0.800000000000000,0.900000000000000
10,10,A,0.4,-3416599.8,2804322.5,3,0.000000000000000,-0.000000000025700,0.00000000149254,-0.00000000633091,0.17241855904877,0.05241428349717,0.00000000000000,0.00000000000000,-0.26848915973815,0.50475704896744,0.81432556279375,0.00006549029114400900,0.00413798631012108000,0.96894575342065200000,0.01660537245078590000,0.00086588763211679700,0.00025993878377196500,0.00012498604136202000,0.00800445450909881000,372777.96480000000,0.00000000000,0.00000000000,-468322.73489559900,-1266835.75219740000,-1623690.66774300000,-1863364.99777363000,0.666670000000000,0.940690000000000,0.358160000000000,1.000000000000000,0.800000000000000,0.900000000000000
